dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
chartqa,mqt,2,9,9,10,10,Trajectory Platt (5D),6.25,0.0,1.2209431847091765,0.6993702379070222,4.114751511393115,0.8525971264882395,0.058089602248639495,0.0006873996800137708,0.6322559999999999,0.052507017435767585
chartqa,mqt,3,36,36,46,36,Naive Confidence (NC),7.249999999999998,0.0,69.78830829448998,1.2675020363146323,69.71994881667197,1.1202866456636777,0.6337027346218127,0.01778073956598953,0.4073055116646529,0.04591078610183097
chartqa,mqt,3,36,36,46,36,Platt Scaling (1D),7.249999999999998,0.0,0.6439621317462327,0.5324725003969553,5.311591542028113,0.9725971144930728,0.06699742707074134,0.0002222964355793112,0.5926944883353472,0.045910786101830935
chartqa,mqt,3,36,36,46,36,Temperature Scaling (TS),7.249999999999998,0.0,45.594769139489195,0.1946318238950914,45.55524334764495,0.18001631646292496,0.2766804604719517,0.0018027238368061337,0.4073055116646529,0.04591078610183097
chartqa,mqt,3,36,36,46,46,Trajectory Platt (5D),7.249999999999998,0.0,1.4606730407103898,1.00150119338816,4.174149630405009,0.5353665500061641,0.06679167103946934,0.0007533498417221046,0.6067478390184962,0.046018788734040326
chartqa,mqt,4,144,144,190,144,Naive Confidence (NC),7.75,0.0,71.20355642996728,2.404433394447588,71.11221442557871,2.385184651897501,0.6573724314579051,0.02597776224077882,0.36218200891686336,0.045260383092115705
chartqa,mqt,4,144,144,190,144,Platt Scaling (1D),7.75,0.0,0.8310946621349841,0.49627498745944293,5.681878456880396,0.8580617085608456,0.07085177950649203,0.00021674555400870974,0.6378179910831367,0.04526038309211571
chartqa,mqt,4,144,144,190,144,Temperature Scaling (TS),7.75,0.0,45.24366487688902,0.25352494537682296,45.24366487688903,0.25352494537682635,0.27868632628213674,0.002212421248167442,0.36218200891686336,0.045260383092115705
chartqa,mqt,4,144,144,190,190,Trajectory Platt (5D),7.75,0.0,2.30969911608845,1.2221914566153929,4.109072546847164,0.6385128385732471,0.06895036946810933,0.0007131190265549805,0.7158143194335169,0.043482728775071776
chartqa,mqt,5,256,256,446,256,Naive Confidence (NC),8.25,0.0,70.82492286339402,0.8769233948347538,70.75520862713456,1.0109863949706814,0.651941759729241,0.009599551419289261,0.42503509206506485,0.0532440413222281
chartqa,mqt,5,256,256,446,256,Platt Scaling (1D),8.25,0.0,1.1017127102906885,1.1717881037411622,5.097734852557425,0.5807518905407816,0.07551685046364551,0.0006009307494763297,0.5749649079349352,0.0532440413222282
chartqa,mqt,5,256,256,446,256,Temperature Scaling (TS),8.25,0.0,44.81724006133389,0.1347990724275442,44.81724006133389,0.1347990724275481,0.2782128312975022,0.0008149090883525975,0.42503509206506485,0.0532440413222281
chartqa,mqt,5,256,256,446,446,Trajectory Platt (5D),8.25,0.0,2.216732684802264,0.49463008825441634,3.5629487480968245,0.4520870738950046,0.07394577303436982,0.0017573906992261043,0.6723474527289242,0.05398715512352848
